idx,id,lon,lat
563,1473,29.0383587412924,40.9843405570922
564,1474,29.0383310108487,40.9834403018999
565,1475,29.0383032816607,40.9825400465511
566,1476,29.0382755537283,40.9816397910458
567,1477,29.0382478270514,40.9807395353839
568,1478,29.0382201016301,40.9798392795655
569,1479,29.0383249604534,40.9790000649076
570,1480,29.0383510368378,40.9779928544776
571,1481,29.0377287183946,40.9775562559667
572,1482,29.038273648854,40.9759953352808
573,1483,29.0385667416547,40.9749477697884
574,1484,29.038097852926,40.9743751568096
575,1485,29.0381597416523,40.9735769941545
576,1486,29.0382515227531,40.9726721813358
577,1487,29.0384143856742,40.9717725293314
578,1488,29.038332242973,40.9707360562952
579,1489,29.0379787791605,40.9698881542771
580,1490,29.0378940914838,40.9691072599791
581,1491,29.038313382054,40.9683812538394
582,1515,29.0400599267284,41.011081178102
583,1516,29.0403221027547,41.0104063538516
584,1517,29.0403241590652,41.0095265999668
585,1518,29.0402963772812,41.008626349821
586,1519,29.0402685967555,41.0077260995187
587,1520,29.040240817488,41.0068258490597
588,1521,29.0402130394785,41.0059255984442
589,1522,29.040185262727,41.0050253476721
590,1523,29.0401574872335,41.0041250967434
591,1524,29.0401297129979,41.0032248456581
592,1525,29.0401019400202,41.0023245944163
593,1526,29.0400741683002,41.0014243430179
594,1527,29.0400463978379,41.0005240914629
595,1528,29.0400186286332,40.9996238397513
596,1529,29.0399908606861,40.9987235878832
597,1530,29.0399630939965,40.9978233358585
598,1531,29.0399353285644,40.9969230836772
599,1532,29.0399075643896,40.9960228313394
600,1533,29.0398798014721,40.995122578845
601,1534,29.0398520398119,40.994222326194
602,1535,29.0398242794088,40.9933220733865
603,1536,29.0397965202629,40.9924218204224
604,1537,29.039768762374,40.9915215673018
605,1538,29.0397410057421,40.9906213140246
606,1539,29.0397132503672,40.9897210605909
607,1540,29.039685496249,40.9888208070006
608,1541,29.0396577433877,40.9879205532537
609,1542,29.0396299917831,40.9870202993503
610,1543,29.0396022414352,40.9861200452903
611,1544,29.0395744923439,40.9852197910738
612,1545,29.039546744509,40.9843195367008
613,1546,29.0395189979307,40.9834192821712
614,1547,29.0394912526088,40.9825190274851
615,1548,29.0394635085432,40.9816187726424
616,1549,29.0394357657339,40.9807185176432
617,1550,29.0394080241807,40.9798182624875
618,1551,29.0393802838838,40.9789180071752
619,1552,29.0393577750942,40.9780212074855
620,1553,29.0394769797495,40.9771520263093
621,1554,29.039513398527,40.9762952748951
622,1555,29.0393999377382,40.9751125467301
623,1556,29.0392416012388,40.9744167282657
624,1557,29.0392138684773,40.9735164720142
625,1558,29.0391861369715,40.9726162156062
626,1559,29.0391584067214,40.9717159590417
627,1560,29.0391306777268,40.9708157023207
628,1561,29.0391029499877,40.9699154454431
629,1562,29.039075223504,40.969015188409
630,1563,29.03907354423,40.9684150226334
631,1588,29.0412825355511,41.0101232815783
632,1589,29.0415126130899,41.009505548768
633,1590,29.0414848151509,41.0086052992858
634,1591,29.0414570184709,41.007705049647
635,1592,29.0414292230498,41.0068047998516
636,1593,29.0414014288875,41.0059045498996
637,1594,29.041373635984,41.005004299791
638,1595,29.0413458443391,41.0041040495258
639,1596,29.0413180539529,41.003203799104
640,1597,29.0412902648252,41.0023035485257
641,1598,29.041262476956,41.0014032977907
642,1599,29.0412346903453,41.0005030468991
643,1600,29.0412069049929,40.999602795851
644,1601,29.0411791208988,40.9987025446462
645,1602,29.0411513380629,40.9978022932849
646,1603,29.0411235564852,40.996902041767
647,1604,29.0410957761657,40.9960017900925
648,1605,29.0410679971041,40.9951015382614
649,1606,29.0410402193006,40.9942012862738
650,1607,29.0410124427549,40.9933010341296
651,1608,29.0409846674671,40.9924007818288
652,1609,29.0409568934371,40.9915005293714
653,1610,29.0409291206648,40.9906002767574
654,1611,29.0409013491501,40.9897000239869
655,1612,29.040873578893,40.9887997710598
656,1613,29.0408458098935,40.9878995179761
657,1614,29.0408180421514,40.9869992647359
658,1615,29.0407902756667,40.986099011339
659,1616,29.0407625104393,40.9851987577857
660,1617,29.0407347464692,40.9842985040757
661,1618,29.0407069837563,40.9833982502092
662,1619,29.0406792223005,40.9824979961862
663,1620,29.0406514621018,40.9815977420066
664,1621,29.04062370316,40.9806974876704
665,1622,29.0405959454753,40.9797972331777
666,1623,29.0405681890474,40.9788969785284
667,1624,29.0405404338763,40.9779967237225
668,1625,29.0405126799619,40.9770964687601
669,1626,29.0404849273042,40.9761962136412
670,1627,29.0404571759032,40.9752959583657
671,1628,29.0404294257587,40.9743957029337
672,1629,29.0404016768706,40.9734954473451
673,1630,29.040373929239,40.9725951916
674,1631,29.0403461828638,40.9716949356983
675,1632,29.0403184377448,40.9707946796401
676,1633,29.0402906938821,40.9698944234253
677,1635,29.0403020704516,40.9681339532692
678,1636,29.0405079291264,40.9672024641108
679,1637,29.0405392330447,40.9663401478788
680,1638,29.0407264554919,40.9658009507766
681,1660,29.0421814475737,41.009954535298
682,1661,29.0426786936888,41.0094510500657
683,1662,29.0426732517617,41.0085842365065
