Run_ID,Seed,K,Population_Size,Archive_Size,Max_Generations,Crossover_Rate,Mutation_Rate,Total_Evaluations,Final_HV,Final_HV_Ratio,Final_ND_Count,Final_Best_F1,Final_Best_F2,Runtime_ms
234,7,7,100,50,100,0.90,0.20,15100,1.209623,0.999689,9,0.659207,0.235932,7498
235,42,7,100,50,100,0.90,0.30,15100,1.208848,0.999048,24,0.627522,0.238648,7988
236,123,7,100,50,100,0.90,0.30,15100,1.209783,0.999821,8,0.639658,0.233338,7774
237,7,7,100,50,100,0.90,0.30,15100,1.209558,0.999634,17,0.633704,0.258018,7963
238,42,7,100,50,100,0.90,0.40,15100,1.209709,0.999759,16,0.649934,0.177871,7765
239,123,7,100,50,100,0.90,0.40,15100,1.209496,0.999584,16,0.633955,0.231451,7393
240,7,7,100,50,100,0.90,0.40,15100,1.208709,0.998933,15,0.623311,0.293759,7326
241,42,7,200,100,50,0.70,0.05,15200,1.208842,0.999043,13,0.638465,0.330535,7486
242,123,7,200,100,50,0.70,0.05,15200,1.209154,0.999301,11,0.662508,0.276133,7346
243,7,7,200,100,50,0.70,0.05,15200,1.209621,0.999687,12,0.654400,0.306021,7776
244,42,7,200,100,50,0.70,0.10,15200,1.207739,0.998131,13,0.651667,0.326706,7906
245,123,7,200,100,50,0.70,0.10,15200,1.209366,0.999476,19,0.672826,0.287946,8388
246,7,7,200,100,50,0.70,0.10,15200,1.208883,0.999077,20,0.667362,0.333778,7837
247,42,7,200,100,50,0.70,0.20,15200,1.207793,0.998176,13,0.673679,0.319139,7941
248,123,7,200,100,50,0.70,0.20,15200,1.209261,0.999390,9,0.661581,0.234245,8031
249,7,7,200,100,50,0.70,0.20,15200,1.208930,0.999116,13,0.637157,0.240183,8195
250,42,7,200,100,50,0.70,0.30,15200,1.208724,0.998945,18,0.637815,0.214727,8282
251,123,7,200,100,50,0.70,0.30,15200,1.208058,0.998395,20,0.639619,0.155388,8178
252,7,7,200,100,50,0.70,0.30,15200,1.208371,0.998653,26,0.647251,0.210749,8259
253,42,7,200,100,50,0.70,0.40,15200,1.209368,0.999478,10,0.657829,0.257398,8437
254,123,7,200,100,50,0.70,0.40,15200,1.209214,0.999350,20,0.665125,0.200894,9032
255,7,7,200,100,50,0.70,0.40,15200,1.209136,0.999286,13,0.667516,0.226380,10150
256,42,7,200,100,50,0.90,0.05,15200,1.208981,0.999158,21,0.650837,0.262510,9373
257,123,7,200,100,50,0.90,0.05,15200,1.209065,0.999228,14,0.646059,0.237464,8770
258,7,7,200,100,50,0.90,0.05,15200,1.209691,0.999745,12,0.652232,0.288076,8620
